age,sex,education,income,east-west,happiness,health,lived_abroad,orientation
40,Male,5,3000,West,8,4,No,2
78,Male,2,960,East,6,3,No,6
22,Female,5,1200,West,9,5,No,2
20,Male,3,450,West,9,4,No,1
62,Female,4,2750,West,8,4,No,2
61,Female,3,1875,East,9,5,No,3
34,Female,3,1063,West,5,3,No,3
32,Female,5,950,West,8,4,Yes,2
59,Male,2,620,East,6,1,No,5
46,Female,3,800,West,9,4,No,5
48,Female,3,2300,East,6,2,No,6
50,Female,3,650,West,8,3,No,6
78,Male,2,3000,West,10,3,No,3
18,Female,3,580,West,7,3,No,9
77,Male,3,1200,East,5,2,No,3
48,Female,5,1500,West,7,4,No,6
43,Female,3,2400,East,8,4,No,6
82,Female,2,1200,East,6,3,No,3
30,Male,3,2600,West,8,3,No,6
65,Female,2,1000,West,8,3,Yes,9
77,Female,2,1000,West,9,4,No,5
77,Male,3,1100,East,8,3,Yes,3
54,Female,5,1000,West,5,2,No,1
75,Male,3,970,East,6,3,No,1
65,Female,3,850,East,9,4,No,3
49,Female,5,1313,West,10,5,No,6
46,Male,2,2000,West,9,4,No,9
64,Male,5,755,West,10,4,Yes,1
73,Male,3,860,East,5,2,No,3
69,Female,2,1800,West,9,4,Yes,3
74,Male,3,850,West,10,2,No,3
61,Female,3,500,East,8,2,No,6
43,Female,2,400,West,8,2,No,3
44,Male,3,1200,East,6,3,No,4
29,Male,3,1438,East,6,3,No,3
33,Female,4,827,East,9,4,No,4
42,Male,3,2500,West,8,3,No,2
39,Male,5,2300,East,8,4,No,2
42,Female,5,364,West,7,1,Yes,9
74,Female,2,580,East,6,4,No,3
34,Female,5,2800,West,8,4,No,3
26,Female,3,500,West,10,5,No,3
23,Female,5,550,West,9,5,No,4
52,Male,3,2100,East,6,4,No,6
50,Female,3,1500,West,9,4,No,6
49,Female,4,2096,West,4,2,Yes,2
61,Male,5,1200,West,9,4,No,6
32,Female,5,2375,West,8,4,No,6
33,Male,5,1300,East,8,4,No,2
38,Female,5,1200,West,8,4,No,2
80,Male,2,1200,West,5,4,Yes,6
56,Male,5,2125,East,8,3,No,1
90,Male,2,1800,East,5,1,No,1
38,Male,4,2500,West,10,3,No,5
78,Female,2,1300,East,8,3,Yes,1
67,Female,5,2400,West,10,4,No,3
77,Male,3,1800,West,10,3,No,6
64,Male,2,1600,West,7,3,No,6
46,Female,3,300,East,8,4,No,1
56,Male,3,2125,West,8,3,Yes,6
53,Male,3,2625,West,7,4,No,3
57,Female,3,3000,West,10,5,No,2
28,Male,4,3300,East,8,4,No,6
30,Female,3,800,West,6,3,Yes,9
57,Male,2,2250,West,9,4,No,2
49,Male,3,1300,West,8,2,No,2
65,Male,2,1000,East,7,3,No,9
50,Male,2,2500,West,7,3,No,4
57,Female,2,780,West,8,2,No,3
77,Female,2,700,West,8,4,No,6
30,Male,3,1600,West,10,5,No,2
51,Male,2,720,West,2,1,No,9
49,Male,5,4000,West,8,4,No,2
45,Male,5,4600,West,7,4,Yes,6
52,Male,2,1300,West,3,4,No,6
31,Female,3,1400,East,7,4,No,9
53,Female,3,450,East,2,1,No,11
43,Male,3,1188,East,8,4,No,9
64,Male,2,1700,West,8,4,No,3
64,Male,5,1900,East,10,5,No,6
47,Male,5,4500,West,9,5,No,6
29,Male,2,1600,East,8,4,No,11
50,Female,3,1313,West,5,3,No,3
63,Female,4,2500,West,8,4,No,5
24,Female,5,500,West,8,3,No,4
75,Male,2,1500,West,8,4,No,6
80,Male,5,2000,East,6,3,No,1
45,Male,3,688,West,4,2,Yes,3
70,Female,2,320,West,8,4,No,6
40,Male,5,1840,West,7,4,No,2
63,Female,1,220,West,10,3,No,3
32,Female,5,3400,West,10,4,Yes,6
38,Female,5,1188,East,9,4,No,2
25,Male,4,300,West,9,5,No,9
49,Female,2,700,West,9,3,No,6
76,Male,2,2300,West,9,3,No,6
40,Female,5,2000,East,8,4,Yes,2
80,Female,3,938,West,10,2,No,6
19,Male,4,300,West,7,5,No,3
49,Male,3,3300,East,8,4,No,5
23,Female,3,1500,West,8,4,No,3
52,Female,3,2350,West,9,5,No,3
61,Female,3,1063,West,10,4,No,2
20,Female,5,720,West,9,5,No,3
70,Male,3,615,East,6,2,No,1
62,Female,3,900,West,7,4,Yes,6
68,Male,3,2400,West,7,3,No,6
26,Female,5,1620,West,9,4,No,2
62,Female,4,1550,West,7,3,Yes,3
56,Male,5,4250,East,9,4,Yes,9
40,Female,3,1400,East,6,2,No,1
28,Female,5,450,West,8,5,No,3
59,Female,3,1650,East,9,4,No,6
58,Female,3,1700,East,6,3,No,1
76,Male,2,1200,West,9,2,No,5
47,Male,5,2125,West,8,3,No,3
50,Female,3,1100,West,7,4,No,2
48,Male,3,8000,West,9,3,No,3
59,Male,5,4100,East,9,3,No,6
59,Male,4,5000,West,8,4,No,6
62,Female,2,1000,West,9,5,No,6
53,Male,5,3000,West,10,2,No,6
20,Male,5,500,West,10,5,No,3
34,Male,3,3000,East,8,4,No,9
53,Male,4,4000,West,7,4,No,6
56,Female,3,600,West,9,4,Yes,2
59,Male,3,3450,West,9,5,No,3
83,Male,3,2200,West,10,4,No,6
25,Male,2,1600,West,7,4,No,11
38,Male,5,3500,East,9,3,Yes,5
86,Female,3,550,West,6,3,No,2
45,Male,3,2200,East,9,3,No,6
27,Male,3,2000,West,8,5,No,6
25,Female,3,1300,West,8,4,No,3
78,Male,2,890,East,7,3,No,9
42,Female,4,450,West,9,5,No,6
58,Male,3,3000,West,9,4,No,6
51,Male,4,3200,West,9,5,No,2
54,Female,3,1100,West,7,4,No,2
63,Female,3,1450,East,9,4,No,6
64,Male,5,2600,West,9,5,Yes,5
60,Male,3,2600,West,10,4,No,3
47,Female,3,3000,West,8,4,No,6
66,Male,3,600,East,8,2,No,6
80,Male,2,1625,West,10,2,Yes,6
57,Female,2,600,West,10,2,No,9
69,Male,2,1200,East,8,4,No,6
61,Male,3,7500,West,8,4,No,5
51,Female,3,2000,East,5,5,Yes,2
44,Male,5,3300,West,8,3,No,6
65,Male,3,2600,West,8,3,No,5
52,Female,4,1100,West,10,4,No,3
45,Female,5,1500,West,10,4,No,5
80,Female,2,1000,East,9,4,No,6
46,Female,4,600,West,5,2,No,3
57,Female,3,800,West,8,3,No,6
54,Female,3,1200,West,10,5,Yes,2
49,Male,3,2000,East,8,4,No,6
76,Male,5,6250,West,10,4,Yes,5
52,Male,5,7500,West,8,4,No,6
23,Male,3,700,West,6,3,No,1
66,Male,3,1590,East,7,3,No,9
68,Male,5,1900,West,7,4,Yes,3
42,Male,5,400,West,8,4,Yes,1
72,Male,5,8000,West,9,4,No,9
29,Female,5,800,West,10,5,No,2
37,Female,5,563,West,7,3,Yes,3
38,Female,5,3600,East,8,5,No,6
43,Female,5,2000,West,6,3,No,3
19,Female,5,700,West,7,5,Yes,1
66,Male,5,1200,East,8,3,No,9
27,Female,5,2400,East,6,4,No,1
35,Female,3,1300,West,8,4,No,2
33,Male,3,1220,East,6,3,No,4
56,Female,3,1000,East,7,2,No,11
34,Female,3,280,East,9,5,No,11
53,Male,5,3500,West,8,4,No,6
27,Male,4,2000,East,8,3,No,1
70,Male,2,2100,West,8,3,No,6
68,Male,3,3000,West,7,3,Yes,9
35,Male,5,1500,West,7,4,No,1
73,Female,3,1000,West,4,1,No,6
30,Female,4,1200,West,9,4,No,6
21,Male,5,450,West,10,5,No,6
36,Female,5,850,East,6,4,Yes,6
81,Female,4,2200,West,10,3,No,2
68,Female,3,890,West,10,4,Yes,6
71,Female,3,1400,West,9,4,No,3
86,Female,2,1200,West,8,3,No,6
84,Female,2,2000,East,9,3,No,1
52,Male,2,4200,West,9,4,No,3
53,Male,3,3300,West,9,5,No,6
48,Female,5,1500,West,8,3,No,2
18,Male,3,480,West,9,5,No,6
47,Male,3,2500,West,8,3,No,5
70,Male,2,563,West,5,2,No,3
50,Female,5,2000,West,8,5,Yes,2
90,Female,3,1100,East,10,4,No,3
47,Female,3,813,West,9,3,No,2
46,Female,5,4300,West,9,4,No,3
24,Male,3,1100,East,7,4,No,1
48,Male,4,3500,West,8,4,No,9
53,Male,3,750,West,5,1,Yes,9
45,Male,4,2600,West,8,4,No,2
68,Male,2,1800,West,10,4,No,3
22,Female,5,750,West,9,4,No,1
65,Female,3,813,East,8,3,Yes,6
38,Male,3,2250,West,8,3,Yes,5
66,Male,2,750,West,5,2,No,5
30,Male,4,1650,East,8,4,No,1
76,Female,5,1400,East,10,5,Yes,3
49,Male,2,1000,West,5,3,No,3
24,Female,3,930,East,9,4,No,9
50,Male,3,4000,West,10,5,No,6
88,Male,2,1875,West,7,2,No,5
36,Male,5,2300,East,8,4,No,6
51,Male,5,1900,West,5,4,Yes,1
19,Male,3,450,West,6,4,No,6
44,Female,3,1250,East,8,3,No,1
39,Male,3,1438,East,9,4,No,9
58,Female,4,3100,West,8,3,No,9
60,Female,5,5500,West,10,5,No,2
54,Female,2,1438,West,7,4,No,6
50,Female,5,5000,West,9,4,No,6
24,Male,2,1800,West,7,4,Yes,1
61,Male,3,600,West,6,2,No,1
58,Male,3,3400,West,9,2,No,5
45,Male,5,8750,West,9,5,Yes,6
78,Male,2,1000,East,6,3,No,6
38,Female,5,900,West,7,3,Yes,2
39,Female,5,650,West,9,4,Yes,3
68,Male,3,950,East,7,2,Yes,1
34,Male,3,2900,West,10,5,Yes,5
33,Male,3,1800,East,5,5,No,9
61,Female,3,800,East,8,3,Yes,6
26,Female,5,2000,West,5,4,Yes,2
66,Female,5,1800,East,9,4,No,9
29,Female,3,1500,West,10,4,No,6
32,Male,5,2450,West,8,4,Yes,3
70,Male,2,1100,East,5,3,No,9
44,Male,3,2875,West,9,3,No,3
82,Male,3,1800,East,8,4,No,1
38,Male,3,1350,East,8,4,No,3
21,Male,2,1200,West,4,4,No,2
48,Male,5,1188,East,3,5,No,6
76,Female,3,800,West,10,4,No,6
35,Female,2,938,East,8,4,No,3
28,Female,4,1625,West,8,5,No,9
64,Female,5,3000,West,8,4,No,3
24,Female,5,570,East,8,4,No,2
26,Female,5,480,West,8,5,Yes,3
67,Male,5,7500,West,10,4,No,5
88,Female,2,1100,East,10,3,Yes,3
78,Male,3,1400,East,8,4,No,3
62,Female,3,900,East,9,3,No,3
60,Female,5,1900,East,5,2,No,1
64,Female,2,700,West,10,4,No,3
27,Male,5,3000,East,8,5,No,3
75,Female,3,78,West,10,4,No,5
53,Female,3,938,East,7,4,No,1
53,Female,3,800,West,7,4,Yes,6
34,Female,5,2200,West,10,5,Yes,6
33,Female,5,2100,West,9,4,No,6
42,Female,5,2600,West,8,4,Yes,6
54,Male,3,1000,East,3,2,No,3
76,Male,2,1188,East,8,2,No,6
63,Male,5,3500,East,8,4,No,6
51,Male,5,2875,West,4,4,Yes,2
44,Female,5,1500,West,8,4,No,2
72,Female,5,620,East,7,3,No,6
20,Male,3,1625,West,10,5,No,9
56,Male,3,2500,West,9,3,No,6
43,Female,5,4000,West,8,5,No,6
36,Male,3,1800,West,9,5,Yes,6
50,Female,3,2400,East,8,4,No,5
33,Female,3,770,West,8,4,No,6
48,Female,5,1200,West,8,5,No,3
35,Female,2,688,West,10,5,No,2
58,Male,2,4000,West,8,4,No,3
64,Female,2,938,West,7,2,No,3
20,Female,2,435,West,5,1,Yes,2
60,Female,3,1500,East,9,4,No,3
44,Male,2,970,West,7,4,No,2
44,Male,2,2000,West,6,3,No,6
45,Male,3,1600,West,8,4,No,5
65,Female,2,901,West,8,3,No,6
37,Female,3,2100,West,7,4,No,5
68,Male,2,1200,West,9,4,No,5
65,Male,5,650,East,7,3,No,2
68,Male,3,1850,West,8,4,No,1
36,Male,3,2500,West,4,4,No,9
76,Male,3,820,West,4,4,No,6
87,Male,5,1000,East,8,4,No,1
49,Male,5,4500,West,7,4,No,3
47,Male,5,2200,East,9,5,No,9
44,Female,2,800,West,10,4,No,3
21,Female,5,457,East,10,4,No,6
70,Female,4,813,West,9,2,No,6
73,Female,2,1000,East,9,4,No,1
56,Female,2,1300,West,5,3,No,6
77,Male,2,1600,West,8,4,No,5
33,Male,5,3000,West,9,4,No,3
81,Female,2,800,East,6,4,No,2
70,Female,2,1200,West,9,3,No,2
53,Male,3,2800,East,9,4,No,2
64,Female,3,1100,West,9,3,No,3
62,Male,2,2700,West,8,4,No,3
44,Female,3,813,West,9,4,No,2
69,Male,2,970,West,6,3,No,3
54,Female,3,1400,West,6,2,No,5
21,Male,5,950,West,9,4,No,6
41,Male,3,2375,West,8,4,No,5
65,Female,3,2000,West,8,4,No,3
47,Male,2,1400,East,6,3,No,9
79,Female,3,300,West,8,3,Yes,6
61,Male,2,404,West,5,1,No,9
47,Male,4,2500,West,7,4,No,9
68,Female,2,550,West,10,4,No,5
21,Female,3,735,West,9,5,Yes,9
48,Female,5,2000,West,8,4,Yes,2
44,Female,5,950,West,10,4,No,6
59,Male,2,3500,West,10,5,No,3
59,Female,3,2125,West,8,3,No,3
52,Female,3,2200,West,9,4,No,2
44,Male,5,3000,East,10,4,Yes,6
62,Male,2,2000,West,10,5,No,5
64,Male,5,1100,East,9,4,Yes,9
66,Male,5,2500,West,8,4,No,9
44,Female,5,3600,West,8,5,Yes,1
33,Male,5,3300,West,9,4,No,3
77,Male,2,1200,West,8,3,No,5
61,Male,2,2500,West,9,2,No,3
30,Male,4,1600,West,8,3,Yes,1
80,Female,5,920,East,9,4,No,2
47,Female,3,1260,West,8,4,No,9
22,Male,5,1500,West,10,5,Yes,2
37,Male,3,1875,West,8,3,No,6
75,Male,3,1700,West,8,4,No,6
86,Female,2,1400,East,7,3,No,3
37,Male,3,1100,West,8,4,Yes,3
41,Female,3,1200,West,9,4,No,3
51,Male,3,1438,East,8,4,No,3
65,Male,3,2300,West,10,4,Yes,6
72,Female,2,880,East,5,3,No,3
20,Female,2,300,West,8,4,Yes,3
43,Male,5,4100,West,10,4,Yes,6
59,Female,5,1800,East,8,3,No,9
54,Male,3,2000,East,8,4,No,2
64,Male,2,2200,West,9,4,No,2
56,Female,4,1500,West,8,4,No,2
31,Male,3,1500,West,8,4,No,3
32,Female,2,500,West,8,4,No,9
45,Male,5,1200,West,4,3,No,3
26,Male,5,600,West,6,4,No,5
20,Female,5,300,West,9,5,No,6
81,Male,1,1600,West,8,4,No,6
76,Male,2,1069,East,9,4,No,3
18,Male,3,800,West,10,5,No,3
28,Female,4,2150,West,9,5,No,3
33,Female,3,165,East,6,5,No,2
48,Female,3,1400,East,8,4,No,5
86,Male,5,1438,West,8,4,Yes,1
46,Female,3,1188,West,7,3,No,2
55,Female,2,1100,West,9,2,No,1
57,Female,3,1800,West,8,3,No,11
74,Male,3,1220,East,5,1,No,6
19,Female,3,340,West,9,5,No,3
32,Female,3,765,West,9,5,No,3
81,Male,2,1300,West,10,4,Yes,9
57,Male,3,2300,West,9,4,Yes,3
20,Male,3,680,East,8,5,No,6
25,Female,5,450,East,4,2,Yes,6
65,Male,5,2800,West,8,3,Yes,9
45,Female,3,1200,West,8,5,No,6
44,Male,5,650,West,8,5,No,6
60,Male,2,1078,West,3,4,No,9
35,Male,3,2200,West,10,5,No,6
32,Female,5,4800,West,10,4,No,6
65,Female,3,813,West,9,5,No,3
56,Male,3,970,East,8,2,No,5
85,Female,1,1800,East,7,2,Yes,3
70,Female,5,2875,West,9,3,No,6
65,Female,4,1300,West,8,3,No,1
36,Female,5,2800,West,7,2,Yes,2
65,Female,3,430,West,9,3,No,5
36,Male,5,3500,West,7,4,Yes,6
51,Male,3,2300,East,9,4,No,9
77,Female,3,2400,West,8,3,Yes,6
60,Male,2,2500,West,10,3,No,3
85,Male,1,900,East,7,3,No,6
58,Female,3,700,East,7,4,No,1
34,Female,5,2125,West,8,5,No,2
69,Male,3,3500,West,9,3,No,6
48,Female,5,450,West,8,5,Yes,6
63,Male,3,3000,West,10,3,No,3
62,Male,3,1000,East,10,3,No,9
56,Male,2,5000,West,10,4,No,6
56,Female,3,1700,East,5,4,No,1
66,Male,5,1600,West,8,4,No,3
67,Female,5,813,East,7,4,No,6
81,Female,2,1500,West,4,1,No,6
78,Female,3,1200,West,8,3,No,6
65,Male,3,528,East,8,3,No,6
70,Female,2,800,West,8,4,No,6
42,Female,5,1900,West,7,4,No,3
79,Male,2,1800,East,8,3,No,6
47,Female,3,1188,East,5,3,No,3
66,Female,3,1200,West,8,3,No,5
88,Female,3,2500,East,6,2,No,1
66,Male,4,1300,East,9,4,No,1
84,Female,1,2000,West,10,3,No,3
36,Male,5,2000,East,7,4,No,9
76,Male,2,1340,West,9,4,No,9
82,Female,2,997,East,7,3,No,3
82,Male,5,2000,West,9,4,No,2
35,Male,2,2000,West,7,3,No,6
55,Female,3,1188,West,10,3,No,6
55,Male,2,2600,West,9,3,No,2
41,Male,3,1500,West,10,4,No,6
37,Female,2,900,West,10,4,No,2
76,Male,2,900,East,8,2,No,6
63,Male,2,2000,West,7,3,No,6
51,Male,3,1400,East,5,4,No,9
69,Male,5,2125,East,8,5,No,6
52,Male,2,2000,West,10,4,No,5
67,Female,3,850,West,10,5,No,6
25,Female,5,1600,West,8,5,No,6
34,Female,3,1900,West,8,4,No,2
51,Male,3,1100,East,8,4,No,9
65,Male,2,1800,West,9,4,No,2
42,Male,5,4000,West,8,4,No,3
57,Male,3,136,West,1,1,Yes,9
43,Female,5,1600,West,8,4,No,6
75,Female,3,1200,West,7,2,No,3
35,Male,4,1000,West,9,4,No,1
33,Female,5,3000,East,8,4,Yes,6
73,Female,3,955,East,5,1,No,6
62,Female,3,1300,East,8,5,No,6
33,Male,5,600,West,7,5,Yes,6
34,Male,5,1800,West,9,4,No,1
52,Female,3,950,East,5,3,No,9
66,Male,3,500,East,7,3,No,2
46,Male,5,3500,East,8,5,No,6
32,Male,3,3500,West,7,4,No,1
28,Female,5,600,West,7,4,No,3
67,Male,5,2400,West,8,4,Yes,6
26,Male,3,2000,West,8,4,Yes,1
57,Male,3,3500,West,8,4,No,6
49,Female,3,1400,West,9,4,No,6
62,Female,2,950,West,5,1,No,2
78,Male,2,3000,West,8,3,No,6
67,Female,3,950,East,9,4,No,3
81,Male,3,3000,West,8,4,No,6
20,Male,5,300,West,9,5,No,3
48,Female,5,2850,West,9,5,No,6
38,Male,2,2300,West,10,2,Yes,2
80,Female,5,2000,West,10,2,Yes,3
21,Female,2,1100,West,8,3,No,3
39,Female,3,850,West,10,5,No,2
59,Male,5,3750,West,9,4,No,6
36,Female,5,1000,West,10,5,Yes,2
45,Male,5,2000,West,7,3,No,1
38,Male,3,5000,West,10,4,No,6
36,Male,2,2000,West,9,5,No,3
47,Female,3,1000,West,7,4,No,2
71,Male,3,1400,West,8,4,Yes,5
76,Male,5,8000,West,9,4,No,3
60,Male,3,4200,East,8,2,No,6
34,Female,4,1600,West,8,4,No,6
22,Male,4,700,West,7,4,No,3
65,Male,2,3500,West,6,3,No,6
50,Male,5,3600,East,9,4,No,3
69,Female,5,2875,East,8,4,No,2
69,Female,2,650,West,5,2,No,6
67,Female,3,500,West,10,4,Yes,5
55,Female,3,1500,East,5,3,No,9
45,Male,3,2000,West,9,4,No,6
50,Female,3,1200,West,8,4,No,3
48,Male,2,3100,West,8,4,No,9
71,Male,3,1100,East,7,3,No,3
34,Male,3,1711,East,6,3,No,1
71,Male,2,2125,West,8,3,No,5
65,Male,5,2000,West,10,4,Yes,6
67,Male,4,1800,West,9,4,No,3
63,Female,3,1000,East,9,5,No,1
44,Male,5,3100,West,9,4,No,6
82,Female,2,1500,West,10,3,No,6
56,Female,5,2700,West,8,4,No,2
49,Male,5,2000,West,5,3,No,3
67,Male,3,8750,West,9,3,No,2
29,Female,5,1500,West,9,5,Yes,6
51,Female,3,1875,West,9,4,No,3
73,Male,3,1625,East,8,3,No,9
51,Female,3,813,West,8,4,No,6
21,Female,4,450,West,3,4,No,1
37,Male,2,837,West,5,3,Yes,9
74,Female,5,2500,West,8,4,No,5
23,Male,4,250,West,8,4,No,1
43,Female,3,1400,West,8,4,No,3
77,Female,2,1400,East,6,3,No,3
52,Male,3,1600,East,10,4,No,3
76,Male,4,4500,West,8,5,Yes,6
22,Female,5,280,West,9,4,No,1
26,Male,5,650,West,6,4,No,6
31,Male,4,1600,West,9,5,No,1
57,Female,2,1400,West,10,5,No,6
70,Female,3,1800,West,8,4,No,6
58,Female,4,2000,West,3,3,No,6
59,Male,2,1800,West,7,4,No,6
47,Female,5,1200,West,8,4,Yes,6
31,Female,5,2400,West,10,5,No,5
24,Male,3,1313,West,7,4,No,4
41,Female,4,1313,West,9,5,No,6
55,Male,4,1700,West,10,3,No,2
37,Female,2,983,West,7,5,No,6
64,Male,2,1185,West,9,3,No,5
52,Female,3,938,West,9,4,No,9
44,Male,5,1750,West,7,4,No,6
45,Female,3,675,East,7,2,No,3
21,Male,5,1188,West,10,5,No,6
52,Male,5,3800,East,7,4,Yes,1
40,Female,2,1000,West,6,3,No,6
35,Male,5,1734,West,9,5,Yes,3
72,Female,4,460,West,9,3,No,2
40,Female,5,800,East,7,4,No,2
73,Female,3,1016,East,5,3,No,3
78,Male,2,1220,East,7,2,No,1
71,Female,5,1050,East,8,3,No,3
72,Female,3,1800,East,8,3,No,1
81,Male,5,1800,East,8,3,No,6
75,Male,4,3800,East,8,3,No,3
72,Male,3,4200,West,8,3,No,6
46,Female,5,1600,East,9,5,Yes,2
60,Male,3,1350,West,8,4,No,9
58,Male,3,1063,East,8,4,No,1
55,Male,2,720,West,5,2,No,1
49,Female,5,1188,West,7,3,Yes,6
91,Male,3,1600,West,5,3,No,3
60,Male,3,2000,East,8,3,No,9
72,Female,3,890,West,9,4,No,6
37,Male,5,2300,West,9,5,Yes,2
49,Female,3,813,East,8,3,No,11
42,Female,2,700,West,8,4,No,4
37,Female,5,2000,West,8,4,Yes,6
77,Male,2,1200,West,8,4,No,6
38,Male,2,532,West,3,2,No,9
24,Female,5,597,East,7,4,Yes,2
66,Male,2,1800,West,7,2,Yes,9
41,Female,3,1188,East,6,4,No,2
46,Male,5,4000,West,8,5,Yes,2
75,Female,3,360,West,8,4,No,2
36,Male,5,3500,West,10,4,No,6
54,Female,2,1100,West,10,3,No,3
46,Male,3,2300,West,8,4,No,6
41,Male,2,1500,East,8,4,Yes,9
68,Male,2,780,West,9,2,No,6
77,Female,3,2000,West,10,3,No,6
73,Male,2,930,East,5,3,No,9
51,Female,5,3300,West,10,5,No,6
78,Male,2,1450,East,8,3,No,9
64,Male,3,1400,West,5,5,No,5
54,Female,5,1200,West,9,4,Yes,6
64,Male,3,3500,West,8,4,No,6
65,Male,3,1010,East,9,4,No,6
59,Male,3,1100,East,7,3,No,1
38,Female,3,450,West,9,4,Yes,3
52,Male,4,2500,East,8,2,No,9
38,Female,5,840,West,6,4,Yes,2
36,Male,3,1400,East,5,3,No,6
59,Male,4,2600,West,10,4,No,6
51,Male,3,1500,East,5,3,No,3
