age,sex,education,income,east-west,happiness,health,lived_abroad,orientation
61,Female,2,370,West,9,4,No,6
56,Male,3,2375,East,7,4,Yes,1
57,Male,5,6000,West,9,2,Yes,5
34,Female,3,1800,West,5,5,No,3
28,Male,3,1000,East,3,4,No,6
67,Female,3,1650,East,9,4,No,1
34,Male,5,3200,West,8,4,Yes,2
73,Female,3,1800,West,8,4,No,6
72,Female,4,300,West,10,4,No,3
53,Female,3,650,East,8,3,No,3
50,Female,3,820,East,6,2,No,5
63,Male,2,1200,West,6,4,No,6
25,Male,3,1300,East,8,3,No,1
25,Female,3,670,West,9,4,No,3
34,Male,4,1500,East,9,5,No,1
53,Male,3,2600,West,7,3,No,6
68,Male,2,2125,West,9,3,No,6
37,Female,3,600,East,7,3,No,2
58,Male,5,4000,East,10,5,Yes,3
57,Female,3,1100,East,8,4,No,9
53,Male,5,4500,West,8,4,Yes,5
71,Male,2,1200,West,10,5,No,3
97,Female,5,1100,East,8,2,No,2
26,Female,5,1200,West,10,5,Yes,6
66,Female,3,400,East,7,3,Yes,6
33,Female,2,1800,West,8,4,Yes,1
46,Male,2,1800,West,5,3,No,6
20,Female,5,1100,West,9,4,Yes,1
38,Male,3,1500,East,4,1,No,1
26,Male,5,600,East,8,4,Yes,1
48,Female,3,1100,East,8,4,No,2
29,Male,5,900,West,9,4,No,2
40,Male,3,2700,East,9,5,No,2
63,Female,3,1875,West,8,5,No,2
51,Female,5,900,West,10,2,No,9
57,Female,4,1550,West,8,4,Yes,2
47,Male,3,1100,East,7,4,No,4
32,Male,5,1700,West,8,3,No,3
20,Female,5,1750,West,10,4,Yes,2
57,Male,3,2000,East,8,3,Yes,6
49,Female,5,2000,West,9,5,No,3
55,Female,3,1700,West,8,4,No,3
50,Female,3,400,West,4,3,No,2
23,Female,5,1800,West,8,5,No,6
55,Male,5,2100,East,9,4,No,3
50,Female,3,813,East,8,4,No,6
25,Male,2,1800,West,8,4,No,6
31,Male,5,2400,East,8,4,Yes,4
78,Female,5,1200,East,7,3,No,1
40,Female,5,1800,West,7,5,Yes,1
60,Male,4,3000,West,8,4,No,6
70,Male,3,900,East,8,3,No,9
66,Male,3,823,East,8,4,No,3
52,Female,3,500,East,7,2,No,6
49,Female,2,550,West,5,3,No,9
39,Male,3,3800,West,8,4,No,5
71,Male,2,950,East,6,5,No,9
65,Female,2,1500,West,8,4,No,2
66,Female,5,488,East,5,4,Yes,2
53,Male,2,1800,West,9,4,No,6
47,Female,5,900,West,8,5,No,2
57,Male,3,3800,East,8,4,No,3
54,Female,3,1800,West,6,3,No,3
35,Female,5,1,East,10,4,No,6
47,Female,3,2800,West,6,2,No,9
64,Female,3,450,East,9,3,No,6
53,Male,5,1500,East,8,3,No,3
25,Male,5,450,West,7,5,No,9
53,Male,2,1400,West,5,3,Yes,1
65,Male,5,4500,West,9,4,Yes,2
36,Male,4,3500,West,8,5,No,5
31,Male,2,1900,West,9,5,Yes,3
52,Female,3,1800,West,8,4,No,3
79,Male,5,2375,West,9,3,No,3
28,Female,5,2700,West,8,5,Yes,6
67,Male,2,1750,East,7,4,No,3
75,Female,2,800,East,9,3,No,9
43,Male,2,2050,West,8,2,No,6
73,Female,2,820,East,6,2,No,6
22,Male,2,2000,West,8,5,No,6
59,Male,4,3100,West,9,4,No,2
47,Male,2,1235,West,7,4,No,6
54,Female,4,1000,East,8,4,No,1
36,Female,5,2100,West,8,4,No,6
69,Male,3,1250,East,8,3,No,6
27,Male,5,2400,West,9,5,No,1
42,Male,3,1750,West,5,3,Yes,3
82,Male,5,1500,East,8,3,No,3
32,Male,5,500,West,6,3,No,2
75,Female,2,1063,East,8,3,No,3
35,Male,3,600,East,7,4,Yes,4
29,Male,5,1500,West,5,4,Yes,3
46,Male,3,938,West,6,3,No,3
41,Male,5,3000,West,8,4,No,6
70,Male,2,1500,West,10,4,No,6
68,Male,5,2100,West,8,2,No,2
45,Female,3,900,West,10,5,Yes,6
66,Female,2,1000,West,8,5,No,5
45,Male,5,5500,West,8,4,Yes,3
59,Male,3,816,East,4,2,No,6
68,Female,2,1000,West,7,5,Yes,6
53,Male,2,680,East,5,2,No,9
46,Male,4,1700,West,8,3,No,3
33,Female,5,2300,West,9,5,No,5
54,Female,1,45,East,5,2,No,2
76,Male,2,1200,West,10,3,No,2
69,Male,5,2500,West,8,4,No,3
26,Male,5,1429,East,7,4,No,5
67,Female,5,420,West,10,5,Yes,2
23,Female,5,450,West,9,4,No,6
48,Male,2,1300,East,2,5,No,1
65,Male,2,1500,West,7,1,No,3
56,Female,3,500,East,6,3,No,6
39,Female,5,1000,East,7,2,No,3
46,Female,3,1000,East,8,3,No,6
69,Male,4,3500,West,9,4,No,3
51,Female,3,1625,West,9,4,No,6
75,Male,3,1300,West,5,3,Yes,2
61,Male,5,2875,West,10,4,No,5
55,Male,3,390,East,6,1,No,1
50,Female,3,3000,East,9,4,No,3
27,Male,1,750,East,8,4,Yes,3
58,Male,4,150,West,10,5,No,6
57,Female,2,1800,West,7,4,No,3
21,Male,5,300,West,9,4,Yes,2
59,Female,5,2700,West,10,5,Yes,3
52,Male,3,1438,East,10,4,No,3
36,Female,5,1600,West,8,5,Yes,3
34,Male,3,2900,East,9,5,No,6
50,Male,2,1700,West,7,4,No,3
31,Female,5,1800,West,6,4,Yes,1
26,Male,5,2100,West,7,4,No,5
76,Female,2,688,West,9,3,No,6
31,Male,3,1800,East,8,4,No,5
23,Male,5,1500,West,8,4,No,5
76,Male,2,1200,East,6,3,No,1
73,Male,2,1400,East,8,4,No,6
52,Male,5,1750,West,8,4,No,2
61,Female,5,4300,West,10,4,No,6
75,Male,2,2375,West,10,3,No,2
28,Female,5,1990,East,8,4,Yes,1
46,Male,5,5000,West,10,3,No,2
23,Male,3,2211,West,9,5,No,6
66,Male,2,1800,West,7,3,No,2
53,Female,4,900,West,6,4,No,2
64,Female,5,1400,East,5,2,No,2
30,Female,5,875,West,8,5,Yes,2
48,Male,2,1800,West,10,3,No,5
63,Male,2,1500,West,9,2,No,5
73,Female,3,1500,East,9,4,No,3
66,Female,2,720,East,2,2,No,9
63,Male,3,1300,East,8,4,No,3
75,Male,2,1050,East,9,4,No,6
63,Female,3,1800,East,9,4,No,5
31,Female,3,1100,West,8,3,Yes,3
66,Female,3,813,East,9,4,No,6
46,Male,3,1000,East,8,4,No,9
53,Female,3,1400,East,10,4,No,3
44,Female,3,2300,East,8,4,No,1
89,Female,5,2000,West,9,3,No,6
47,Female,5,700,West,8,4,Yes,6
53,Male,3,3500,East,8,5,Yes,9
76,Male,2,1438,West,10,4,No,3
78,Male,5,3300,West,6,2,No,2
52,Female,5,2250,East,8,4,Yes,2
33,Female,3,1300,West,10,3,No,1
73,Female,5,2375,East,8,3,No,1
50,Male,5,6250,West,8,4,No,5
56,Female,3,353,West,10,2,No,3
47,Male,3,834,East,9,3,No,9
58,Female,5,3500,West,8,5,No,2
67,Male,3,850,East,10,5,No,6
87,Female,2,1100,West,8,3,No,3
52,Female,2,710,East,5,2,No,1
47,Male,2,450,West,4,1,No,9
58,Male,3,742,East,8,3,No,3
63,Female,2,795,West,8,4,No,5
72,Male,2,780,East,7,3,No,9
73,Male,4,3000,West,10,5,Yes,5
65,Male,4,8750,East,8,4,No,6
48,Male,3,1600,West,5,3,No,3
80,Female,2,200,West,8,3,No,3
67,Female,2,645,East,7,2,No,3
68,Female,3,845,West,4,3,No,3
49,Male,3,3900,West,8,4,No,5
60,Male,5,620,East,7,3,No,2
51,Male,5,1200,West,7,3,No,1
62,Male,5,1875,East,8,3,No,2
53,Female,3,350,East,6,2,Yes,6
26,Male,5,1300,West,7,3,No,2
53,Female,4,1875,East,10,5,No,3
34,Female,5,5000,West,8,3,Yes,6
32,Female,3,900,West,10,5,Yes,6
48,Male,2,1900,West,7,3,No,1
35,Female,5,1100,West,9,5,No,3
31,Female,3,1200,East,9,4,No,6
84,Male,4,1100,West,9,2,Yes,3
75,Female,4,1063,East,5,2,No,9
44,Female,2,800,West,6,3,No,5
70,Female,5,456,West,9,2,No,5
51,Female,3,896,East,7,1,No,2
84,Male,5,1800,East,10,4,No,3
54,Male,3,1875,East,9,4,No,3
64,Male,3,1500,West,9,2,No,1
42,Female,5,2000,West,8,4,No,6
32,Female,5,3300,West,8,5,No,6
49,Male,2,2400,East,9,4,Yes,6
38,Female,2,1000,West,8,4,No,3
52,Male,5,5000,West,8,4,Yes,1
46,Female,3,938,East,5,2,No,1
67,Female,2,1000,West,10,5,Yes,2
44,Female,3,450,East,10,3,No,9
62,Male,5,640,East,5,2,No,9
24,Male,5,2100,East,8,4,No,6
50,Female,3,800,East,8,4,No,2
29,Male,2,1900,West,8,5,No,3
68,Male,5,4500,West,9,5,Yes,6
64,Female,3,750,West,10,4,No,3
48,Male,5,1800,West,8,3,No,2
57,Male,5,6250,West,9,5,Yes,1
25,Female,5,1300,West,7,4,No,3
85,Female,2,1063,East,10,3,No,6
18,Male,5,150,West,9,5,No,2
66,Female,2,280,West,8,5,No,5
76,Male,2,1063,East,8,3,No,3
79,Female,3,2000,West,10,3,Yes,5
84,Male,2,1800,East,10,4,No,3
71,Female,3,1040,East,9,4,No,3
51,Male,1,400,East,2,1,No,9
64,Female,2,1009,West,10,5,No,6
60,Male,2,1188,West,8,3,Yes,2
48,Male,3,1625,West,8,4,No,3
65,Male,2,1188,West,8,4,Yes,3
48,Female,3,2400,East,10,4,No,9
76,Female,3,2500,West,9,4,No,6
60,Female,5,1200,West,8,4,Yes,2
66,Male,2,512,West,3,2,No,2
63,Male,3,800,East,7,3,Yes,5
54,Female,4,563,East,10,3,No,6
88,Male,2,1500,East,10,3,No,5
40,Male,3,1700,West,9,3,No,6
61,Male,5,3000,East,8,4,No,6
30,Female,5,380,West,10,4,No,6
71,Male,3,2000,West,4,3,Yes,6
60,Male,5,2700,East,8,2,No,1
30,Male,3,2500,West,10,5,No,6
64,Female,3,1500,West,8,4,No,6
75,Female,5,1875,West,8,4,Yes,3
80,Female,2,600,East,8,2,No,1
67,Male,5,2800,West,8,3,No,3
33,Female,2,1311,West,5,4,No,9
66,Female,3,1000,East,9,5,No,6
82,Male,2,1063,East,8,3,No,6
50,Male,3,6250,West,9,5,No,6
48,Female,5,3500,West,7,4,Yes,6
36,Female,3,280,East,7,4,No,9
57,Female,3,2400,East,7,4,No,9
18,Male,5,800,West,8,4,Yes,6
67,Female,3,688,East,8,3,No,3
53,Male,4,1500,East,9,4,No,9
38,Male,3,1375,East,5,3,No,9
29,Male,3,1500,West,8,5,No,9
60,Male,2,1400,West,4,3,No,9
67,Male,5,3500,West,9,4,Yes,5
61,Male,3,980,East,6,4,No,3
52,Male,5,7300,West,9,4,No,3
67,Male,3,1100,East,5,3,Yes,1
32,Male,3,2300,West,10,5,No,1
57,Male,5,950,West,5,2,No,1
78,Male,4,1300,West,8,4,No,5
79,Female,2,630,East,7,3,No,6
49,Female,3,1000,West,8,5,No,6
53,Male,3,2000,East,7,4,No,1
63,Male,3,990,West,7,3,No,9
51,Male,5,2100,West,7,2,Yes,2
32,Female,5,1750,East,9,5,Yes,3
55,Male,3,1875,West,7,4,No,6
48,Male,3,3000,West,8,4,Yes,6
47,Male,5,1340,West,8,4,No,2
78,Female,2,500,East,8,3,No,9
46,Female,5,900,East,3,2,Yes,1
57,Male,2,2000,West,10,3,Yes,6
23,Male,5,500,West,6,4,No,2
22,Female,5,400,West,7,5,No,3
40,Female,5,450,West,10,5,Yes,3
49,Male,3,3000,West,8,3,No,5
53,Female,3,1450,East,10,4,No,1
67,Male,2,680,West,8,3,No,6
56,Male,3,1600,East,4,2,No,9
68,Male,2,1625,West,7,2,No,3
62,Male,2,1800,West,9,4,No,6
52,Male,3,2000,West,9,5,No,2
64,Male,4,4000,West,9,4,Yes,3
33,Female,5,1600,West,2,3,Yes,2
67,Male,5,1000,East,7,3,No,3
37,Male,3,1600,East,7,4,No,9
48,Male,3,1600,East,7,4,No,6
25,Male,5,2100,West,10,5,Yes,2
42,Female,5,1800,West,8,4,Yes,6
44,Female,3,1200,West,9,5,Yes,5
32,Female,3,800,East,10,4,No,9
51,Female,5,3500,West,7,3,Yes,2
83,Male,2,1400,West,5,2,No,2
84,Female,2,700,East,7,1,No,1
90,Male,4,3500,West,6,3,Yes,1
46,Male,5,1800,East,8,3,Yes,1
50,Male,2,3000,West,9,3,No,4
55,Male,5,3500,West,8,3,No,5
23,Male,3,1500,West,9,4,No,3
49,Male,3,2400,East,10,2,No,3
34,Male,2,1188,West,10,3,Yes,3
41,Female,3,1200,East,7,3,No,9
71,Male,2,1200,West,8,5,No,6
64,Male,5,1200,West,8,4,Yes,5
29,Male,3,2600,West,7,4,No,6
79,Female,5,3400,West,10,4,No,5
51,Female,3,1500,East,8,3,No,9
68,Male,4,5000,East,9,4,No,5
23,Female,5,200,West,9,5,No,6
40,Male,2,460,East,3,2,No,1
60,Female,3,800,East,8,4,No,1
81,Female,5,2125,West,10,5,Yes,2
42,Female,2,1000,West,10,4,No,3
52,Male,3,1600,East,7,3,No,3
55,Female,3,1500,East,9,5,No,1
25,Male,5,556,East,9,5,Yes,6
60,Female,3,1000,East,8,1,No,6
67,Male,5,2700,West,10,4,No,2
66,Male,2,2200,West,10,5,No,5
45,Female,5,2000,East,10,5,No,6
48,Male,3,1200,West,8,3,No,6
77,Male,5,901,East,8,4,No,1
44,Female,5,2500,West,9,5,Yes,6
62,Female,3,688,East,6,4,No,1
31,Female,5,2300,West,9,5,No,6
52,Male,3,700,West,8,2,No,9
74,Female,2,1188,East,5,3,No,1
51,Male,4,2700,West,5,3,No,2
63,Male,2,1650,West,7,3,No,3
22,Male,2,1300,East,7,4,No,6
52,Female,4,1700,West,9,5,Yes,2
56,Male,2,1875,West,7,4,No,3
81,Male,2,1438,West,8,4,No,9
19,Female,5,470,West,8,4,No,11
76,Male,5,1400,East,5,4,No,9
66,Male,3,1188,East,10,5,No,6
69,Female,5,2125,East,9,4,No,6
46,Male,3,1450,East,8,4,No,9
79,Male,2,1625,West,9,4,Yes,2
74,Male,2,4000,West,9,3,Yes,3
60,Female,2,1625,West,7,4,No,3
29,Female,5,1300,East,9,5,No,9
28,Male,5,3000,West,8,4,No,5
57,Female,3,550,West,10,4,No,6
67,Female,2,2125,West,10,3,No,3
20,Female,2,1200,West,5,5,No,6
67,Male,3,1500,West,8,4,Yes,6
42,Female,3,800,West,5,3,No,6
74,Male,2,1050,West,8,4,No,3
65,Female,3,900,East,6,3,No,1
60,Female,5,2500,West,10,5,Yes,2
22,Male,2,730,West,6,5,No,9
54,Female,2,1600,West,5,3,No,6
52,Male,5,2400,East,6,4,No,1
64,Female,3,1400,East,8,3,No,2
40,Male,5,3200,West,9,4,No,4
20,Male,5,688,West,7,4,No,5
51,Male,3,2300,West,9,4,No,3
23,Male,5,2050,West,9,5,No,5
67,Female,3,550,East,5,4,No,9
44,Female,2,1100,West,10,2,No,9
55,Female,5,1800,East,7,3,No,6
47,Male,5,2600,West,8,4,No,1
28,Female,3,1200,West,8,3,No,6
49,Male,5,3500,West,7,3,No,2
69,Female,3,524,West,8,4,No,3
59,Female,3,2000,East,9,5,No,6
25,Female,5,2150,West,6,3,No,3
26,Male,3,1500,East,8,4,No,2
57,Female,5,1438,West,9,4,No,1
63,Male,3,2400,West,10,4,No,6
20,Female,3,772,West,9,3,No,6
27,Female,5,450,East,8,5,No,6
56,Female,3,404,East,5,3,No,5
24,Female,4,1800,West,9,4,No,3
60,Male,5,5800,West,10,5,No,6
51,Male,3,1500,West,10,4,No,6
84,Female,2,400,West,7,3,No,3
77,Female,2,776,East,7,2,No,3
62,Male,5,3500,West,8,2,Yes,3
74,Male,2,550,West,9,3,No,9
19,Female,4,700,West,8,4,Yes,2
83,Female,5,800,West,8,3,Yes,2
53,Female,4,2000,West,7,4,No,9
47,Female,3,758,West,5,2,No,6
54,Male,4,4500,West,9,4,No,2
32,Female,5,1200,West,10,5,Yes,2
33,Male,5,3200,West,8,4,No,6
55,Female,5,3500,East,8,3,No,1
64,Female,5,550,West,10,4,No,1
58,Female,4,860,East,6,3,No,1
72,Female,3,1400,East,9,3,No,6
73,Male,5,2800,West,8,3,Yes,1
57,Male,3,1300,East,9,4,No,1
54,Female,3,1500,West,7,4,No,3
64,Female,3,1000,East,6,4,No,3
45,Female,5,2400,West,9,5,Yes,6
65,Female,2,2200,West,7,3,No,9
40,Female,3,192,West,8,5,No,1
49,Male,5,2000,West,7,4,No,2
46,Female,5,1500,West,9,4,No,5
51,Male,3,1625,West,8,3,No,3
71,Female,3,300,West,8,3,Yes,5
73,Male,3,3090,West,9,5,No,6
53,Female,3,500,East,5,1,No,9
32,Female,4,1900,West,9,3,Yes,1
36,Male,2,2100,West,7,3,Yes,5
56,Female,3,1900,East,9,4,No,3
76,Female,2,850,West,7,2,No,6
53,Female,2,700,West,10,4,No,3
46,Female,2,450,West,10,5,No,9
48,Female,3,813,West,8,4,No,6
28,Female,5,6250,West,9,4,Yes,6
44,Male,2,1800,West,8,4,No,3
21,Female,5,660,West,9,4,No,2
32,Female,5,2700,West,8,4,No,6
42,Male,5,3200,West,9,5,No,2
77,Male,2,1200,East,7,4,No,3
82,Female,1,1200,East,6,2,No,6
55,Female,3,1313,West,8,4,No,6
31,Female,3,2000,West,8,5,Yes,2
21,Female,2,1500,West,7,4,No,3
75,Female,2,1625,West,10,3,No,2
35,Male,5,2400,West,9,5,No,3
57,Male,3,7000,West,10,4,No,9
79,Male,2,1800,West,7,3,No,3
66,Male,2,1400,West,10,2,No,6
48,Female,3,3000,East,10,4,Yes,2
73,Female,5,500,East,8,2,No,3
64,Female,3,1100,East,10,4,No,6
20,Female,3,580,West,9,3,No,9
57,Female,5,1500,West,7,2,No,2
72,Male,2,760,West,5,3,No,9
50,Female,2,650,West,5,3,No,5
56,Male,3,1600,East,7,3,No,6
73,Male,5,2500,East,9,3,No,9
49,Male,3,1300,West,7,2,No,6
66,Female,5,3400,West,9,5,No,3
46,Female,5,1875,East,7,4,No,1
67,Female,3,1300,East,9,4,No,1
30,Female,4,1625,West,7,3,No,1
23,Female,5,250,West,10,5,Yes,3
49,Male,2,360,West,4,2,Yes,3
49,Female,5,750,West,6,3,No,2
42,Male,4,3500,West,9,5,No,6
54,Male,3,2875,East,7,4,No,3
65,Female,4,800,East,8,3,No,1
50,Male,5,3000,West,8,4,No,2
70,Male,5,1400,West,10,4,No,6
35,Male,3,3500,West,9,4,No,3
22,Female,5,1000,West,9,5,No,6
64,Female,2,500,West,9,4,No,6
74,Male,2,1400,West,10,3,No,6
27,Female,4,600,West,7,4,No,2
23,Male,5,250,West,9,5,No,6
67,Male,5,1800,West,6,4,No,6
28,Female,4,1100,East,7,4,No,1
39,Female,5,1500,West,8,2,No,3
72,Male,3,1830,East,9,5,No,3
58,Male,5,1500,East,4,2,No,2
27,Male,2,450,East,7,4,No,1
62,Male,5,3000,West,10,3,Yes,1
81,Female,3,1063,East,10,2,No,2
43,Male,5,3600,West,7,4,No,2
51,Female,3,450,West,6,3,No,6
46,Male,3,6250,East,8,4,Yes,6
60,Female,3,450,West,9,4,Yes,2
77,Female,2,890,East,8,4,No,1
34,Female,3,980,West,8,4,No,6
56,Female,4,2600,West,8,3,No,3
74,Male,3,1000,East,8,4,No,3
64,Female,3,1300,East,7,4,No,6
72,Male,5,4000,West,9,5,No,6
28,Female,5,1875,West,8,4,No,3
64,Female,5,2600,West,8,3,No,5
45,Female,5,1900,West,8,4,Yes,2
35,Female,3,250,West,8,4,No,2
35,Male,3,1063,East,10,4,No,11
73,Male,2,1200,East,10,3,No,6
71,Female,3,1900,West,8,3,No,3
22,Female,2,350,West,7,5,No,6
68,Female,2,607,West,7,4,No,6
77,Male,2,1050,East,7,3,No,3
56,Male,2,2125,West,8,4,No,9
49,Male,5,5000,West,9,3,No,5
69,Female,5,550,East,9,3,No,6
57,Female,3,1313,West,7,3,No,6
21,Male,5,300,West,8,5,Yes,2
49,Male,5,6250,West,8,4,Yes,5
86,Male,2,1500,West,9,3,No,3
67,Male,2,1060,East,8,3,No,1
69,Male,2,800,East,7,3,No,9
40,Male,5,1900,East,7,4,No,3
48,Male,2,2650,West,8,4,Yes,9
57,Female,2,1200,West,8,4,No,6
33,Male,5,3000,West,9,4,Yes,6
75,Male,5,3000,West,5,2,Yes,9
28,Male,3,1875,East,9,5,No,5
35,Male,2,650,East,8,4,No,9
61,Female,3,1875,East,8,2,No,9
48,Male,5,2800,West,8,3,Yes,4
63,Female,2,813,East,8,3,No,3
64,Male,3,1350,East,8,3,No,3
29,Female,5,1100,East,3,3,No,2
56,Male,2,2200,West,8,3,No,3
22,Male,5,450,West,6,3,No,3
79,Male,2,1600,West,5,4,No,6
77,Male,5,1438,East,7,4,Yes,3
74,Female,2,1100,West,10,4,No,2
70,Female,2,500,West,8,3,No,3
57,Female,3,404,East,6,3,No,9
54,Male,3,1400,East,7,4,No,3
48,Female,5,2100,West,9,4,No,1
42,Female,5,1700,West,10,4,No,6
78,Male,2,1600,West,10,4,No,5
59,Male,3,2000,East,8,3,No,6
63,Female,2,1000,West,7,3,No,3
51,Female,2,1200,West,5,2,No,9
81,Male,2,1100,West,8,3,No,6
50,Female,3,1000,East,8,4,No,2
53,Male,3,2625,West,9,3,No,6
76,Female,2,1300,West,10,3,Yes,5
30,Female,5,1700,East,8,4,Yes,1
69,Male,3,3000,West,8,4,No,9
33,Male,3,1063,East,8,4,No,6
42,Female,3,1200,East,9,5,Yes,6
62,Female,5,2600,West,10,3,Yes,5
79,Female,2,420,West,9,2,No,6
28,Female,5,1500,East,7,4,No,1
37,Female,5,1700,West,9,5,No,2
73,Female,5,991,West,7,3,No,3
59,Female,4,1200,West,9,4,No,3
59,Male,3,1500,East,7,2,Yes,9
53,Male,2,2400,West,8,4,No,3
55,Female,3,1800,West,9,4,No,2
35,Male,1,1300,West,8,4,Yes,3
28,Female,5,2100,West,9,5,No,2
48,Female,3,1500,East,4,3,No,9
66,Female,2,600,West,8,3,No,6
67,Male,3,1700,West,4,2,No,6
43,Female,5,2500,West,9,5,Yes,2
29,Male,3,1100,East,7,4,No,9
65,Female,2,795,West,10,3,No,6
61,Female,3,1625,East,4,3,No,9
63,Female,5,1875,East,7,2,Yes,1
77,Female,2,294,West,8,2,No,6
65,Male,2,3000,West,9,4,No,6
47,Male,5,2375,East,7,3,No,2
51,Male,2,1900,West,6,3,No,5
29,Female,5,700,West,10,5,No,3
60,Female,4,1450,East,7,4,No,6
72,Male,5,1500,East,5,2,No,1
70,Female,5,1500,East,7,3,No,1
63,Male,3,1100,East,9,4,No,6
24,Male,5,1800,West,9,5,No,6
69,Male,5,404,East,7,3,No,6
74,Female,2,1800,West,10,3,No,6
35,Female,3,1250,West,9,4,No,6
53,Female,3,1200,East,9,3,No,6
75,Female,3,1200,West,10,5,No,6
47,Female,5,3500,West,9,5,No,6
